ID,Type,Country,For Autumn,For Winter,For Spring,For Summer,Dish ID #1,Dish ID #2,Dish ID #3,Dish ID #4,Dish ID #5,Dish ID #6,Dish ID #7,Dish ID #8,Dish ID #9,Dish ID #10
1,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,21,4,,,,,,,
2,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,35,23,,,,,,,,
3,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,39,1,,,,,,,,
4,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,33,,,,,,,,,
5,Breakfast,Spain,FALSE,FALSE,TRUE,TRUE,37,11,,,,,,,,
6,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,23,31,,,,,,,,
7,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,38,4,,,,,,,
8,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,41,,,,,,,,,
9,Breakfast,Spain,FALSE,FALSE,FALSE,TRUE,32,13,,,,,,,,
10,Breakfast,Spain,FALSE,FALSE,TRUE,TRUE,28,40,,,,,,,,
11,Breakfast,Spain,TRUE,TRUE,FALSE,FALSE,16,43,23,2,,,,,,
12,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,26,18,8,157,,,,,,
13,Breakfast,Spain,TRUE,TRUE,FALSE,TRUE,28,18,46,3,,,,,,
14,Breakfast,Spain,FALSE,FALSE,FALSE,TRUE,25,14,21,,,,,,,
15,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,36,,,,,,,,
16,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,42,,,,,,,,
17,Breakfast,Spain,TRUE,TRUE,TRUE,FALSE,2,4,28,16,,,,,,
18,Breakfast,Spain,TRUE,TRUE,FALSE,TRUE,23,34,157,,,,,,,
19,Breakfast,Spain,TRUE,FALSE,TRUE,TRUE,28,16,46,3,158,,,,,
20,Breakfast,Spain,TRUE,FALSE,TRUE,TRUE,30,,,,,,,,,
21,Morning Snack,Spain,FALSE,FALSE,TRUE,FALSE,16,10,155,,,,,,,
22,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,23,155,,,,,,,,
23,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,25,4,157,,,,,,,
24,Morning Snack,Spain,TRUE,TRUE,FALSE,FALSE,22,156,2,,,,,,,
25,Morning Snack,Spain,FALSE,FALSE,TRUE,FALSE,39,12,,,,,,,,
26,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,38,5,,,,,,,,
27,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,35,21,,,,,,,,
28,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,17,34,156,,,,,,,
29,Morning Snack,Spain,TRUE,FALSE,TRUE,TRUE,22,122,7,,,,,,,
30,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,36,,,,,,,,,
31,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,92,126,6,,,,,,,
32,Lunch,Spain,FALSE,TRUE,TRUE,FALSE,98,45,1,,,,,,,
33,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,96,145,24,,,,,,,
34,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,63,47,9,,,,,,,
35,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,53,15,,,,,,,,
36,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,115,17,8,,,,,,,
37,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,89,71,,,,,,,,
38,Lunch,Spain,FALSE,FALSE,FALSE,TRUE,77,150,13,,,,,,,
39,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,97,133,23,,,,,,,
40,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,104,149,7,,,,,,,
41,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,94,153,,,,,,,,
42,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,99,139,23,,,,,,,
43,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,84,65,2,,,,,,,
44,Lunch,Spain,TRUE,FALSE,TRUE,TRUE,57,142,6,,,,,,,
45,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,88,80,34,,,,,,,
46,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,78,136,14,,,,,,,
47,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,102,141,8,,,,,,,
48,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,105,74,7,,,,,,,
49,Lunch,Spain,TRUE,TRUE,TRUE,FALSE,123,79,1,,,,,,,
50,Lunch,Spain,FALSE,TRUE,TRUE,FALSE,114,46,10,,,,,,,
51,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,63,147,5,,,,,,,
52,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,103,121,9,,,,,,,
53,Lunch,Spain,TRUE,FALSE,TRUE,TRUE,106,132,24,,,,,,,
54,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,72,135,3,,,,,,,
55,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,90,129,23,,,,,,,
56,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,110,49,12,,,,,,,
57,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,112,61,8,,,,,,,
58,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,87,101,6,,,,,,,
59,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,92,81,9,,,,,,,
60,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,17,116,,,,,,,,
61,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,4,1,10,,,,,,,
62,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,26,11,155,,,,,,,
63,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,25,10,,,,,,,,
64,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,122,22,,,,,,,,
65,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,33,,,,,,,,,
66,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,26,4,157,,,,,,,
67,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,27,155,,,,,,,,
68,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,21,156,11,,,,,,,
69,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,95,44,,,,,,,,
70,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,108,16,,,,,,,,
71,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,86,117,25,,,,,,,
72,Dinner,Spain,FALSE,FALSE,TRUE,TRUE,76,16,140,,,,,,,
73,Dinner,Spain,TRUE,FALSE,TRUE,TRUE,56,,,,,,,,,
74,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,111,18,156,,,,,,,
75,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,124,73,,,,,,,,
76,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,125,,,,,,,,,
77,Dinner,Spain,TRUE,TRUE,FALSE,FALSE,89,146,,,,,,,,
78,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,87,55,,,,,,,,
79,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,109,127,,,,,,,,
80,Dinner,Spain,FALSE,FALSE,TRUE,TRUE,77,75,,,,,,,,
81,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,93,,,,,,,,,
82,Dinner,Spain,TRUE,FALSE,TRUE,TRUE,62,,,,,,,,,
83,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,92,48,,,,,,,,
84,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,100,,,,,,,,,
85,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,60,,,,,,,,,
86,Dinner,Spain,FALSE,FALSE,TRUE,TRUE,85,,,,,,,,,
87,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,28,4,5,155,,,,,,
88,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,148,58,9,,,,,,,
89,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,65,43,,,,,,,,
90,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,154,,,,,,,,,
151,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,464,463,462,,,,,,,
152,Breakfast,Turkey,FALSE,FALSE,TRUE,TRUE,301,407,,,,,,,,
153,Breakfast,Turkey,TRUE,TRUE,FALSE,FALSE,302,305,,,,,,,,
154,Breakfast,Turkey,FALSE,FALSE,FALSE,TRUE,323,363,,,,,,,,
155,Breakfast,Turkey,FALSE,FALSE,TRUE,TRUE,321,322,,,,,,,,
156,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,324,325,,,,,,,,
157,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,326,327,,,,,,,,
158,Breakfast,Turkey,TRUE,TRUE,FALSE,FALSE,328,369,,,,,,,,
159,Breakfast,Turkey,TRUE,TRUE,FALSE,TRUE,412,413,,,,,,,,
160,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,414,415,,,,,,,,
161,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,416,417,,,,,,,,
162,Breakfast,Turkey,TRUE,TRUE,TRUE,FALSE,418,419,,,,,,,,
163,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,420,421,,,,,,,,
164,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,372,373,,,,,,,,
165,Breakfast,Turkey,FALSE,FALSE,TRUE,TRUE,375,376,,,,,,,,
166,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,377,378,,,,,,,,
167,Breakfast,Turkey,TRUE,TRUE,FALSE,FALSE,379,380,,,,,,,,
168,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,381,382,383,,,,,,,
169,Morning Snack,Turkey,TRUE,TRUE,FALSE,FALSE,404,405,408,,,,,,,
170,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,406,407,,,,,,,,
171,Morning Snack,Turkey,TRUE,TRUE,TRUE,TRUE,492,493,,,,,,,,
172,Morning Snack,Turkey,TRUE,TRUE,TRUE,TRUE,303,306,,,,,,,,
173,Morning Snack,Turkey,TRUE,TRUE,TRUE,TRUE,362,332,,,,,,,,
174,Morning Snack,Turkey,FALSE,TRUE,FALSE,FALSE,331,330,,,,,,,,
175,Morning Snack,Turkey,FALSE,FALSE,FALSE,TRUE,364,333,,,,,,,,
176,Morning Snack,Turkey,TRUE,FALSE,FALSE,TRUE,362,422,,,,,,,,
177,Morning Snack,Turkey,TRUE,TRUE,TRUE,TRUE,423,424,,,,,,,,
178,Morning Snack,Turkey,FALSE,FALSE,FALSE,TRUE,425,426,,,,,,,,
179,Morning Snack,Turkey,FALSE,FALSE,TRUE,TRUE,409,410,,,,,,,,
180,Breakfast,Turkey,TRUE,TRUE,TRUE,TRUE,466,494,495,,,,,,,
181,Lunch,Turkey,TRUE,FALSE,TRUE,TRUE,465,307,,,,,,,,
182,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,304,491,,,,,,,,
183,Lunch,Turkey,TRUE,TRUE,TRUE,TRUE,308,307,,,,,,,,
184,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,309,310,,,,,,,,
185,Lunch,Turkey,FALSE,TRUE,FALSE,FALSE,334,329,,,,,,,,
186,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,335,365,,,,,,,,
187,Lunch,Turkey,FALSE,TRUE,FALSE,FALSE,336,371,,,,,,,,
188,Lunch,Turkey,TRUE,TRUE,FALSE,FALSE,337,366,,,,,,,,
189,Lunch,Turkey,TRUE,TRUE,TRUE,TRUE,338,339,,,,,,,,
190,Lunch,Turkey,FALSE,FALSE,FALSE,TRUE,340,341,,,,,,,,
191,Lunch,Turkey,TRUE,FALSE,FALSE,TRUE,342,310,,,,,,,,
192,Lunch,Turkey,TRUE,FALSE,FALSE,TRUE,343,367,,,,,,,,
193,Lunch,Turkey,TRUE,TRUE,TRUE,TRUE,427,428,,,,,,,,
194,Lunch,Turkey,TRUE,TRUE,TRUE,TRUE,429,430,,,,,,,,
195,Lunch,Turkey,TRUE,TRUE,TRUE,TRUE,431,432,,,,,,,,
196,Lunch,Turkey,TRUE,TRUE,FALSE,TRUE,433,434,,,,,,,,
197,Lunch,Turkey,FALSE,TRUE,FALSE,FALSE,435,436,,,,,,,,
198,Lunch,Turkey,TRUE,TRUE,FALSE,FALSE,437,438,,,,,,,,
199,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,439,440,,,,,,,,
200,Lunch,Turkey,TRUE,TRUE,TRUE,TRUE,441,447,,,,,,,,
201,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,374,320,,,,,,,,
202,Lunch,Turkey,FALSE,TRUE,FALSE,FALSE,384,385,,,,,,,,
203,Lunch,Turkey,FALSE,FALSE,FALSE,TRUE,386,387,,,,,,,,
204,Lunch,Turkey,FALSE,FALSE,FALSE,TRUE,388,389,390,,,,,,,
205,Lunch,Turkey,TRUE,TRUE,TRUE,TRUE,391,393,392,,,,,,,
206,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,483,491,,,,,,,,
207,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,481,490,,,,,,,,
208,Lunch,Turkey,FALSE,FALSE,TRUE,TRUE,485,484,,,,,,,,
209,Afternoon Snack,Turkey,TRUE,TRUE,FALSE,FALSE,443,444,,,,,,,,
210,Afternoon Snack,Turkey,TRUE,TRUE,TRUE,TRUE,411,,,,,,,,,
211,Afternoon Snack,Turkey,TRUE,TRUE,TRUE,TRUE,445,446,,,,,,,,
212,Afternoon Snack,Turkey,TRUE,TRUE,FALSE,FALSE,311,312,,,,,,,,
213,Afternoon Snack,Turkey,TRUE,FALSE,FALSE,FALSE,344,345,,,,,,,,
214,Afternoon Snack,Turkey,TRUE,TRUE,TRUE,TRUE,347,346,,,,,,,,
215,Afternoon Snack,Turkey,TRUE,TRUE,TRUE,TRUE,348,349,,,,,,,,
216,Afternoon Snack,Turkey,TRUE,TRUE,FALSE,FALSE,448,449,,,,,,,,
217,Afternoon Snack,Turkey,FALSE,FALSE,FALSE,TRUE,450,451,,,,,,,,
218,Afternoon Snack,Turkey,TRUE,TRUE,FALSE,TRUE,452,453,,,,,,,,
219,Afternoon Snack,Turkey,TRUE,TRUE,TRUE,TRUE,486,488,,,,,,,,
220,Afternoon Snack,Turkey,FALSE,FALSE,TRUE,TRUE,487,,,,,,,,,
221,Dinner,Turkey,TRUE,TRUE,FALSE,FALSE,475,476,,,,,,,,
222,Dinner,Turkey,TRUE,TRUE,TRUE,TRUE,313,314,315,316,,,,,,
223,Dinner,Turkey,FALSE,FALSE,TRUE,TRUE,317,318,319,320,,,,,,
224,Dinner,Turkey,TRUE,TRUE,FALSE,FALSE,350,351,352,,,,,,,
225,Dinner,Turkey,FALSE,FALSE,TRUE,TRUE,353,354,355,,,,,,,
226,Dinner,Turkey,FALSE,FALSE,FALSE,TRUE,356,357,368,,,,,,,
227,Dinner,Turkey,FALSE,FALSE,TRUE,TRUE,358,359,,,,,,,,
228,Dinner,Turkey,FALSE,FALSE,TRUE,TRUE,360,361,,,,,,,,
229,Dinner,Turkey,TRUE,TRUE,TRUE,TRUE,454,455,456,,,,,,,
230,Dinner,Turkey,TRUE,TRUE,TRUE,TRUE,457,458,459,,,,,,,
231,Dinner,Turkey,TRUE,TRUE,TRUE,TRUE,460,467,468,,,,,,,
232,Dinner,Turkey,TRUE,TRUE,TRUE,TRUE,469,470,471,,,,,,,
233,Dinner,Turkey,TRUE,TRUE,TRUE,TRUE,472,473,310,,,,,,,
234,Dinner,Turkey,FALSE,TRUE,FALSE,FALSE,394,395,,,,,,,,
235,Dinner,Turkey,TRUE,TRUE,FALSE,FALSE,396,397,,,,,,,,
236,Dinner,Turkey,TRUE,TRUE,TRUE,TRUE,398,399,,,,,,,,
237,Dinner,Turkey,FALSE,FALSE,TRUE,TRUE,400,401,,,,,,,,
238,Dinner,Turkey,FALSE,FALSE,TRUE,TRUE,402,403,,,,,,,,
239,Dinner,Turkey,TRUE,TRUE,FALSE,FALSE,480,496,474,477,,,,,,
240,Dinner,Turkey,TRUE,TRUE,TRUE,FALSE,479,482,489,,,,,,,
